,,21-Jan-09,,,
Anthem AV pre/pro RS-232 commands,,,,,
Main Zone Specific Commands,,,,,
P1Q?,,returns an ASCII string description of the current processing mode for current source in main (i.e. the string on left hand side of lower line of LCD display),,,
P4S,n,Set Rec to source n (M=Main),,,
P4X,nm,Set Rec to video source n and audio source m simulcast,,,
P4S?,,query record zone source: returns P4Sx,,,
HV,sxx.xx,"Set headphone volume to sxx.xx dB where sxx.xx= +10.00 to -62.5 dB in 1.25 dB steps. If sxx.xx is replaced by '?' then print the current value. If sxx.xx is replaced by ""U"" or ""D"" then go up or down by one step. If ""U"" or ""D"" is followed by a floating point number then go up or down by this amount.",,,
Hb,sxx.xx,The Hb command is deprecated. Use the HL command instead.,,,
HL,sxx.xx,Set headphone balance (attenuation) to sxx.xx dB where sxx.xx = +12.5 to -12.5 dB in 1.25 dB steps. If sxx.xx is replaced by '?' then print the current value.,,,
HT,sxx.xx,Set headphone treble to sxx.xx dB where sxx.xx = +14.0 to -14.0 dB in 2.0 dB steps. If sxx.xx is replaced by '?' then print the current value.,,,
HB,sxx.xx,Set headphone bass to sxx.xx dB where sxx.xx = +14.0 to -14.0 dB in 2.0 dB steps. If sxx.xx is replaced by '?' then print the current value.,,,
HM,x,Mutes/un-mutes headphone,,,
,,"where x= 0,1 (un-mutes, mutes)",,,
HMT,,Mute/Unmute toggle on  headphone,,,
H?,,"query headphone status: returns HSxVsyy.yMn where x is source, syy.y is volume and n is mute state",,,
Zone2 Specific Commands,,,,,
Command,Parameters,Description,,,
P2P,x,Zone2 Power on/off ,,,
,,"where x = 0,1 (off, on)",,,
P2S,n,Set zone 2 source to n ('M'=main).,,,
P2X,nm,Set zone 2 to video source n and audio source m simulcast.,,,
P2V,sxx.xx,"Set Zone2 volume to sxx.xx dB where sxx.xx= Zone2 Max Vol to -62.5 dB in 1.25 dB steps. If sxx.xx is replaced by '?' then print the current value. If sxx.xx is replaced by ""U"" or ""D"" then go up or down by one step. If ""U"" or ""D"" is followed by a floating point number then go up or down by this amount.",,,
P2L,sxx.xx,Set Zone2 balance to sxx.xx dB where sxx.xx = +12.5 to -12.5 dB in 1.25 dB steps. If sxx.xx is replaced by '?' then print the current value.,,,
P2T,sxx.xx,Set Zone2 treble to sxx.xx dB where sxx.xx = +14.0 to -14.0 dB in 2.0 dB steps. If sxx.xx is replaced by '?' then print the current value.,,,
P2B,sxx.xx,Set Zone2 bass to sxx.xx dB where sxx.xx = +14.0 to -14.0 dB in 2.0 dB steps. If sxx.xx is replaced by '?' then print the current value.,,,
P2M,x,Mute/un-mute Zone2  ,,,
,,"where x= 0,1 (un-mutes, mutes)",,,
P2MT,,Mute/Unmute toggle on Zone2,,,
P2TE,x,Set Zone2 tone controls,,,
,,"where x=0,1 (bypassed, enabled)",,,
P2s,,Show status of Zone2 on front panel and on TV (if OS enabled),,,
P2SS,x,Source seek in Zone2,,,
,,"where x = +,-",,,
P2Z,x,Turn On Sleep Timer in Zone2,,,
,,"where x = 0,1,2,3 (Off, 30 min, 60 min, 90 min)",,,
P2z,xA,"display a message ""A"" on the zone2 OSD and front panel LCD line x=1,2(1=line 1,2=line 2) ",,,
P2U,A,"Manipulate the setup menus. Parameter A consists of zero or more characters from the set ""oqudlrse0123456789"", followed by a terminating line feed, semi-colin or null. Note that the effect of a specific string depends on the current state and software version - do not rely on specific string sequences to always have the same effect. The commands are: 'o' - open setup menu, 'q' - quit setup menu, 'u' - up, 'd' - down, 'l' - left, 'r' - right, 's' - select, 'e' - back, '0' to '9' - 0 to 9.",,,
P2P?,,query Zone2 power: returns P2Px,,,
P2S?,,query Zone2 source: returns P2Sx (or P2Xxy if in simulcast),,,
